ticker,latest_price,ret_5d,ret_1m,ret_3m,ret_ytd,bench_ret_5d,bench_ret_1m,bench_ret_3m,bench_ret_ytd,rel_5d,rel_1m,rel_3m,rs_status,ma20,ma50,distance_to_ma20_pct,distance_to_ma50_pct,distance_from_20d_high_pct,latest_volume,avg20_volume,volume_ratio,volume_signal,volatility_20d,setup_type,scan_timestamp,benchmark
ALHC,24.05,3.4,59.59,28.82,18.94,0.91,-0.98,13.77,10.03,2.49,60.57,15.05,跑贏指數,21.6395,19.1213,11.14,25.78,-2.08,4203820,6044026.0,0.7,縮量回踩,94.03,強勢延續,2026-07-07 23:31:05,SPY
DNLI,26.31,1.62,30.64,35.76,61.71,0.91,-0.98,13.77,10.03,0.71,31.62,21.99,跑贏指數,23.699,21.1536,11.02,24.38,0.0,1437163,2032318.0,0.71,正常量能,37.64,強勢延續,2026-07-07 23:31:22,SPY
ETON,37.74,2.75,30.59,50.96,132.1,0.91,-0.98,13.77,10.03,1.84,31.57,37.19,跑贏指數,33.92,31.2544,11.26,20.75,-0.74,400047,419732.0,0.95,正常量能,23.67,強勢延續,2026-07-07 23:31:22,SPY
LQDA,81.23,8.13,29.88,115.75,158.69,0.91,-0.98,13.77,10.03,7.22,30.86,101.98,跑贏指數,73.4625,60.5512,10.57,34.15,0.0,1216974,2634694.0,0.46,量價背馳,54.54,強勢延續,2026-07-07 23:31:45,SPY
GCBC,34.25,3.47,27.04,50.69,58.71,0.91,-0.98,13.77,10.03,2.56,28.02,36.92,跑贏指數,30.8305,27.1921,11.09,25.96,-1.18,66826,75916.0,0.88,正常量能,39.04,強勢延續,2026-07-07 23:31:39,SPY
GCMG,13.36,9.6,26.76,39.73,20.83,0.91,-0.98,13.77,10.03,8.69,27.74,25.96,跑贏指數,12.061,11.2532,10.77,18.72,-1.84,311356,566678.0,0.55,縮量回踩,29.48,強勢延續,2026-07-07 23:31:39,SPY
CHEF,98.21,3.06,26.66,65.84,57.41,0.91,-0.98,13.77,10.03,2.15,27.64,52.07,跑贏指數,92.6895,83.438,5.96,17.7,0.0,361679,584359.0,0.62,量價背馳,31.09,強勢延續,2026-07-07 23:31:22,SPY
FTDR,78.42,3.14,24.06,40.64,37.48,0.91,-0.98,13.77,10.03,2.23,25.04,26.87,跑贏指數,72.405,66.867,8.31,17.28,-0.82,1058986,750454.0,1.41,正常量能,22.91,強勢延續,2026-07-07 23:31:39,SPY
GT,7.02,5.72,24.03,3.54,-21.3,0.91,-0.98,13.77,10.03,4.81,25.01,-10.23,跑贏指數,6.3445,6.3014,10.65,11.4,0.0,8888152,12460088.0,0.71,正常量能,53.21,強勢延續,2026-07-07 23:31:39,SPY
KMB,114.74,4.39,23.12,19.93,16.13,0.91,-0.98,13.77,10.03,3.48,24.1,6.16,跑贏指數,105.8685,100.1445,8.38,14.57,0.0,3317969,4834913.0,0.69,量價背馳,26.32,強勢延續,2026-07-07 23:31:39,SPY
IMVT,40.09,4.1,22.71,61.07,54.73,0.91,-0.98,13.77,10.03,3.19,23.69,47.3,跑贏指數,36.044,32.3925,11.23,23.76,0.0,2216521,1707391.0,1.3,正常量能,38.65,強勢延續,2026-07-07 23:31:39,SPY
BTSG,70.17,1.73,22.25,61.27,82.73,0.91,-0.98,13.77,10.03,0.82,23.23,47.5,跑贏指數,66.234,59.8564,5.94,17.23,-0.55,3970328,3806871.0,1.04,正常量能,25.17,強勢延續,2026-07-07 23:31:05,SPY
ASND,266.97,1.24,21.99,17.77,25.17,0.91,-0.98,13.77,10.03,0.33,22.97,4.0,跑贏指數,240.6745,235.4436,10.93,13.39,-2.74,627615,959871.0,0.65,縮量回踩,45.12,強勢延續,2026-07-07 23:31:05,SPY
AFRM,83.62,2.24,21.72,72.59,12.95,0.91,-0.98,13.77,10.03,1.33,22.7,58.82,跑贏指數,74.824,70.0304,11.76,19.41,-2.52,4031105,4484610.0,0.9,正常量能,59.03,強勢延續,2026-07-07 23:31:05,SPY
KRT,34.09,3.96,21.23,23.28,57.67,0.91,-0.98,13.77,10.03,3.05,22.21,9.51,跑贏指數,31.14,28.9997,9.47,17.55,-2.01,112336,141447.0,0.79,正常量能,26.05,強勢延續,2026-07-07 23:31:39,SPY
DUOL,131.95,13.72,20.89,32.77,-25.23,0.91,-0.98,13.77,10.03,12.81,21.87,19.0,跑贏指數,124.05,114.6927,6.37,15.05,-0.17,1094691,1580480.0,0.69,量價背馳,60.08,強勢延續,2026-07-07 23:31:22,SPY
GO,10.21,5.04,20.69,43.8,0.39,0.91,-0.98,13.77,10.03,4.13,21.67,30.03,跑贏指數,9.648,8.6861,5.83,17.54,-1.73,1795359,2762073.0,0.65,縮量回踩,39.82,強勢延續,2026-07-07 23:31:39,SPY
BULL,7.27,7.7,19.18,47.17,-11.23,0.91,-0.98,13.77,10.03,6.79,20.16,33.4,跑贏指數,6.699,6.7358,8.52,7.93,0.0,9023533,12638592.0,0.71,正常量能,76.16,強勢延續,2026-07-07 23:31:05,SPY
MEDP,546.29,2.16,19.1,10.14,-4.33,0.91,-0.98,13.77,10.03,1.25,20.08,-3.63,跑贏指數,497.252,455.9395,9.86,19.82,-3.33,356320,324406.0,1.1,正常量能,38.96,強勢延續,2026-07-07 23:31:45,SPY
ESTA,91.04,4.14,19.02,50.9,32.25,0.91,-0.98,13.77,10.03,3.23,20.0,37.13,跑贏指數,85.3695,76.0738,6.64,19.67,-0.57,669223,869906.0,0.77,正常量能,43.15,強勢延續,2026-07-07 23:31:22,SPY
LAUR,39.86,9.63,18.81,16.55,19.66,0.91,-0.98,13.77,10.03,8.72,19.79,2.78,跑贏指數,36.805,34.2115,8.3,16.51,0.0,685237,1503412.0,0.46,量價背馳,35.32,強勢延續,2026-07-07 23:31:39,SPY
EXPE,269.87,1.73,18.79,18.08,-4.21,0.91,-0.98,13.77,10.03,0.82,19.77,4.31,跑贏指數,246.8185,237.0814,9.34,13.83,0.0,1157686,1630179.0,0.71,正常量能,50.76,強勢延續,2026-07-07 23:31:22,SPY
CWST,99.01,5.02,18.36,14.82,0.36,0.91,-0.98,13.77,10.03,4.11,19.34,1.05,跑贏指數,90.922,86.9612,8.9,13.86,0.0,467940,748332.0,0.63,量價背馳,37.36,強勢延續,2026-07-07 23:31:22,SPY
CINF,189.06,1.56,18.32,18.78,18.41,0.91,-0.98,13.77,10.03,0.65,19.3,5.01,跑贏指數,176.0578,167.8225,7.39,12.65,-1.55,931713,919086.0,1.01,正常量能,21.63,強勢延續,2026-07-07 23:31:22,SPY
GMAB,29.18,12.14,17.99,5.15,-8.3,0.91,-0.98,13.77,10.03,11.23,18.97,-8.62,跑贏指數,26.06,26.2598,11.97,11.12,0.0,1533870,1573488.0,0.97,正常量能,33.72,強勢延續,2026-07-07 23:31:39,SPY
CACC,646.58,1.31,17.9,46.59,42.44,0.91,-0.98,13.77,10.03,0.4,18.88,32.82,跑贏指數,599.496,561.484,7.85,15.16,-1.62,145142,219897.0,0.66,縮量回踩,30.95,強勢延續,2026-07-07 23:31:05,SPY
DRVN,15.13,8.3,17.38,23.31,4.34,0.91,-0.98,13.77,10.03,7.39,18.36,9.54,跑贏指數,13.5875,13.4318,11.35,12.64,0.0,695886,1142709.0,0.61,量價背馳,45.82,強勢延續,2026-07-07 23:31:22,SPY
JANX,16.15,5.38,17.37,8.1,18.32,0.91,-0.98,13.77,10.03,4.47,18.35,-5.67,跑贏指數,14.4582,14.3716,11.7,12.37,0.0,1290072,1455159.0,0.89,正常量能,42.49,強勢延續,2026-07-07 23:31:39,SPY
BBSI,38.05,5.69,17.08,27.93,5.14,0.91,-0.98,13.77,10.03,4.78,18.06,14.16,跑贏指數,34.803,32.5254,9.33,16.99,0.0,202258,257053.0,0.79,正常量能,37.82,強勢延續,2026-07-07 23:31:05,SPY
LLYVK,107.09,1.02,17.0,8.45,27.25,0.91,-0.98,13.77,10.03,0.11,17.98,-5.32,跑贏指數,101.5562,98.436,5.45,8.79,-0.84,296926,515306.0,0.58,量價背馳,28.39,強勢延續,2026-07-07 23:31:45,SPY
ERIE,256.37,7.94,16.79,1.39,-6.7,0.91,-0.98,13.77,10.03,7.03,17.77,-12.38,跑贏指數,232.9865,224.4938,10.04,14.2,-1.11,228346,238447.0,0.96,正常量能,38.9,強勢延續,2026-07-07 23:31:22,SPY
LLYVA,103.47,1.41,16.73,7.52,25.45,0.91,-0.98,13.77,10.03,0.5,17.71,-6.25,跑贏指數,97.942,95.4858,5.64,8.36,-0.61,170472,349709.0,0.49,量價背馳,28.76,強勢延續,2026-07-07 23:31:39,SPY
INCY,118.05,2.96,16.6,24.45,16.4,0.91,-0.98,13.77,10.03,2.05,17.58,10.68,跑贏指數,107.736,101.5332,9.57,16.27,0.0,1470648,2191107.0,0.67,量價背馳,44.02,強勢延續,2026-07-07 23:31:39,SPY
IRTC,125.09,5.63,16.53,6.71,-28.61,0.91,-0.98,13.77,10.03,4.72,17.51,-7.06,跑贏指數,114.601,115.6243,9.15,8.19,-1.1,547714,604871.0,0.91,正常量能,47.5,強勢延續,2026-07-07 23:31:39,SPY
ACGL,102.85,4.88,16.43,6.26,9.58,0.91,-0.98,13.77,10.03,3.97,17.41,-7.51,跑贏指數,94.741,93.9444,8.56,9.48,0.0,1636755,2276923.0,0.72,正常量能,22.21,強勢延續,2026-07-07 23:31:05,SPY
